part_number_distributor_accu,price_1_distributor_accu,price_100_distributor_accu,price_200_distributor_accu,price_1000_distributor_accu,price_10000_distributor_accu,link_distributor_accu
SSCF-M3-6-12.9,0.62,0.02,0.02,0.02,0.01,https://www.accu.co.uk/metric-cap-head-screws/16002-SSCF-M3-6-12-9
SSCF-M3-8-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16003-SSCF-M3-8-12-9
SSCF-M3-10-12.9,0.62,0.02,0.02,0.01,0.01,https://www.accu.co.uk/metric-cap-head-screws/16004-SSCF-M3-10-12-9
SSCF-M3-12-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16005-SSCF-M3-12-12-9
SSCF-M3-16-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16007-SSCF-M3-16-12-9
SSCF-M3-20-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16008-SSC-M3-20-12-9
SSCF-M3-25-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16009-SSC-M3-25-12-9
SSCF-M3-30-12.9,0.69,0.07,0.07,0.05,0.05,https://www.accu.co.uk/metric-cap-head-screws/16010-SSC-M3-30-12-9
SSCF-M3-35-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/386626-SSC-M3-35-12-9
SSCF-M3-40-12.9,0.67,0.06,0.06,0.06,0.04,https://www.accu.co.uk/metric-cap-head-screws/16011-SSC-M3-40-12-9
SSCF-M3-50-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-6-12.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16017-SSCF-M4-6-12-9
SSCF-M4-8-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16018-SSCF-M4-8-12-9
SSCF-M4-10-12.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16019-SSCF-M4-10-12-9
SSCF-M4-12-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16020-SSCF-M4-12-12-9
SSCF-M4-14-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-16-12.9,0.63,0.03,0.03,0.03,0.02,https://www.accu.co.uk/metric-cap-head-screws/16023-SSCF-M4-16-12-9
SSCF-M4-20-12.9,0.65,0.04,0.04,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/386627-SSC-M4-20-12-9
SSCF-M4-25-12.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16027-SSC-M4-25-12-9
SSCF-M4-30-12.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16028-SSC-M4-30-12-9
SSCF-M4-35-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16029-SSC-M4-35-12-9
SSCF-M4-45-12.9,0.67,0.06,0.06,0.06,0.04,https://www.accu.co.uk/metric-cap-head-screws/16031-SSC-M4-45-12-9
SSCF-M4-60-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-65-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-70-12.9,0.91,0.24,0.21,0.20,0.20,https://www.accu.co.uk/metric-cap-head-screws/16035-SSC-M4-70-12-9
SSCF-M4-75-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-40-12.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16030-SSC-M4-40-12-9
SSCF-M4-50-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/16032-SSC-M4-50-12-9
SSCF-M5-6-12.9,0.72,0.10,0.10,0.08,0.08,https://www.accu.co.uk/metric-cap-head-screws/386628-SSCF-M5-6-12-9
SSCF-M5-8-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/386629-SSCF-M5-8-12-9
SSCF-M5-10-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16040-SSCF-M5-10-12-9
SSCF-M5-12-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16041-SSCF-M5-12-12-9
SSCF-M5-14-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M5-16-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16044-SSCF-M5-16-12-9
SSCF-M5-20-12.9,0.63,0.03,0.03,0.03,0.02,https://www.accu.co.uk/metric-cap-head-screws/16046-SSCF-M5-20-12-9
SSCF-M5-25-12.9,0.65,0.04,0.04,0.04,0.03,https://www.accu.co.uk/metric-cap-head-screws/16048-SSC-M5-25-12-9
SSCF-M5-30-12.9,0.66,0.05,0.05,0.05,0.05,https://www.accu.co.uk/metric-cap-head-screws/16049-SSC-M5-30-12-9
SSCF-M5-35-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/386630-SSC-M5-35-12-9
SSCF-M5-40-12.9,0.69,0.07,0.07,0.05,0.05,https://www.accu.co.uk/metric-cap-head-screws/16050-SSC-M5-40-12-9
SSCF-M5-45-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/16051-SSC-M5-45-12-9
SSCF-M5-50-12.9,0.71,0.09,0.09,0.07,0.07,https://www.accu.co.uk/metric-cap-head-screws/16052-SSC-M5-50-12-9
SSCF-M5-60-12.9,0.74,0.11,0.11,0.09,0.09,https://www.accu.co.uk/metric-cap-head-screws/16054-SSC-M5-60-12-9
SSCF-M5-65-12.9,0.77,0.13,0.13,0.11,0.11,https://www.accu.co.uk/metric-cap-head-screws/16055-SSC-M5-65-12-9
SSCF-M5-70-12.9,0.76,0.12,0.12,0.10,0.10,https://www.accu.co.uk/metric-cap-head-screws/16056-SSC-M5-70-12-9
SSCF-M5-80-12.9,0.85,0.20,0.18,0.17,0.17,https://www.accu.co.uk/metric-cap-head-screws/16058-SSC-M5-80-12-9
SSCF-M5-90-12.9,0.84,0.19,0.17,0.16,0.16,https://www.accu.co.uk/metric-cap-head-screws/16059-SSC-M5-90-12-9
SSCF-M5-100-12.9,0.96,0.29,0.29,0.25,0.25,https://www.accu.co.uk/metric-cap-head-screws/16060-SSC-M5-100-12-9
SSCF-M5-110-12.9,0.97,0.29,0.29,0.25,0.25,https://www.accu.co.uk/metric-cap-head-screws/16061-SSC-M5-110-12-9
SSCF-M6-10-12.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16070-SSCF-M6-10-12-9
SSCF-M6-8-12.9,0.67,0.06,0.06,0.05,0.04,https://www.accu.co.uk/metric-cap-head-screws/16069-SSCF-M6-8-12-9
SSCF-M5-75-12.9,0.82,0.17,0.16,0.14,0.14,https://www.accu.co.uk/metric-cap-head-screws/16057-SSC-M5-75-12-9
SSCF-M5-120-12.9,1.01,0.32,0.32,0.27,0.27,https://www.accu.co.uk/metric-cap-head-screws/16062-SSC-M5-120-12-9
SSCF-M6-12-12.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16071-SSCF-M6-12-12-9
SSCF-M6-16-12.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16074-SSCF-M6-16-12-9
SSCF-M6-20-12.9,0.66,0.05,0.05,0.05,0.03,https://www.accu.co.uk/metric-cap-head-screws/16076-SSCF-M6-20-12-9
SSCF-M6-25-12.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16077-SSC-M6-25-12-9
SSCF-M6-30-12.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16078-SSC-M6-30-12-9
SSCF-M6-35-12.9,0.72,0.10,0.10,0.08,0.08,https://www.accu.co.uk/metric-cap-head-screws/16079-SSC-M6-35-12-9
SSCF-M6-40-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/16080-SSC-M6-40-12-9
SSCF-M6-45-12.9,0.78,0.15,0.13,0.12,0.12,https://www.accu.co.uk/metric-cap-head-screws/16081-SSC-M6-45-12-9
SSCF-M6-50-12.9,0.74,0.11,0.11,0.08,0.08,https://www.accu.co.uk/metric-cap-head-screws/16082-SSC-M6-50-12-9
SSCF-M6-60-12.9,0.77,0.13,0.13,0.11,0.11,https://www.accu.co.uk/metric-cap-head-screws/16084-SSC-M6-60-12-9
SSCF-M6-70-12.9,0.78,0.14,0.14,0.11,0.11,https://www.accu.co.uk/metric-cap-head-screws/16086-SSC-M6-70-12-9
SSCF-M6-75-12.9,0.86,0.21,0.19,0.18,0.18,https://www.accu.co.uk/metric-cap-head-screws/16087-SSC-M6-75-12-9
SSCF-M6-65-12.9,0.84,0.19,0.17,0.16,0.16,https://www.accu.co.uk/metric-cap-head-screws/16085-SSC-M6-65-12-9
SSCF-M6-80-12.9,0.86,0.20,0.19,0.17,0.17,https://www.accu.co.uk/metric-cap-head-screws/16088-SSC-M6-80-12-9
SSCF-M6-90-12.9,0.84,0.19,0.17,0.16,0.16,https://www.accu.co.uk/metric-cap-head-screws/16089-SSC-M6-90-12-9
SSCF-M6-100-12.9,0.91,0.23,0.21,0.20,0.20,https://www.accu.co.uk/metric-cap-head-screws/16090-SSC-M6-100-12-9
SSCF-M6-110-12.9,0.91,0.26,0.26,0.23,0.23,https://www.accu.co.uk/metric-cap-head-screws/16091-SSC-M6-110-12-9
SSK-M3-6-10.9,0.65,0.04,0.04,0.04,0.04,https://www.accu.co.uk/countersunk-socket-head-screws/495076-SSK-M3-6-10-9
SSK-M3-10-10.9,0.63,0.03,0.03,0.03,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/472017-SSK-M3-10-10-9
SSK-M3-12-10.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472018-SSK-M3-12-10-9
SSK-M3-16-10.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/495048-SSK-M3-16-10-9
SSK-M3-20-10.9,0.65,0.04,0.04,0.04,0.04,https://www.accu.co.uk/countersunk-socket-head-screws/472019-SSK-M3-20-10-9
SSK-M3-25-10.9,0.71,0.09,0.09,0.07,0.07,https://www.accu.co.uk/countersunk-socket-head-screws/472020-SSK-M3-25-10-9
SSK-M3-30-10.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/countersunk-socket-head-screws/495077-SSK-M3-30-10-9
SSK-M3-35-10.9,0.76,0.12,0.12,0.12,0.12,https://www.accu.co.uk/countersunk-socket-head-screws/5432-SSK-M3-35-A2
SSK-M4-6-10.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/5445-SSK-M4-6-A2
SSK-M4-10-10.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/472023-SSK-M4-10-10-9
SSK-M4-12-10.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472024-SSK-M4-12-10-9
SSK-M4-16-10.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/472025-SSK-M4-16-10-9
SSK-M4-20-10.9,0.65,0.04,0.04,0.04,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/472026-SSK-M4-20-10-9
SSK-M4-25-10.9,0.66,0.05,0.05,0.05,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472027-SSK-M4-25-10-9
SSK-M4-30-10.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/countersunk-socket-head-screws/472028-SSK-M4-30-10-9
SSK-M4-35-10.9,0.67,0.06,0.06,0.05,0.05,https://www.accu.co.uk/countersunk-socket-head-screws/495079-SSK-M4-35-10-9
SSK-M4-40-10.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/countersunk-socket-head-screws/495080-SSK-M4-40-10-9
SSK-M5-8-10.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/countersunk-socket-head-screws/495082-SSK-M5-8-10-9
SSK-M5-10-10.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472030-SSK-M5-10-10-9
SSK-M5-12-10.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/countersunk-socket-head-screws/472031-SSK-M5-12-10-9
SSK-M5-16-10.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472032-SSK-M5-16-10-9
SSK-M5-25-10.9,0.69,0.07,0.07,0.05,0.05,https://www.accu.co.uk/countersunk-socket-head-screws/472034-SSK-M5-25-10-9
SSK-M5-35-10.9,0.80,0.17,0.15,0.14,0.14,https://www.accu.co.uk/countersunk-socket-head-screws/472036-SSK-M5-35-10-9
SSK-M5-40-10.9,0.77,0.13,0.13,0.10,0.10,https://www.accu.co.uk/countersunk-socket-head-screws/472037-SSK-M5-40-10-9
SSK-M5-45-10.9,0.74,0.11,0.11,0.09,0.09,https://www.accu.co.uk/countersunk-socket-head-screws/495165-SSK-M5-45-10-9
SSK-M5-50-10.9,0.80,0.16,0.15,0.14,0.14,https://www.accu.co.uk/countersunk-socket-head-screws/472038-SSK-M5-50-10-9
SSK-M6-10-10.9,0.66,0.05,0.05,0.05,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472040-SSK-M6-10-10-9
SSK-M6-16-10.9,0.66,0.05,0.05,0.05,0.03,https://www.accu.co.uk/countersunk-socket-head-screws/472042-SSK-M6-16-10-9
SSK-M6-30-10.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/countersunk-socket-head-screws/472045-SSK-M6-30-10-9
SSK-M6-35-10.9,0.71,0.09,0.09,0.07,0.07,https://www.accu.co.uk/countersunk-socket-head-screws/472046-SSK-M6-35-10-9
SSK-M6-45-10.9,1.14,0.36,0.36,0.36,0.36,https://www.accu.co.uk/countersunk-socket-head-screws/5661-SSK-M6-45-A4
SSK-M6-50-10.9,0.79,0.15,0.14,0.13,0.13,https://www.accu.co.uk/countersunk-socket-head-screws/472049-SSK-M6-50-10-9
SSK-M6-55-10.9,0.78,0.15,0.13,0.12,0.12,https://www.accu.co.uk/countersunk-socket-head-screws/495169-SSK-M6-55-10-9
SSK-M6-60-10.9,0.77,0.14,0.13,0.12,0.12,https://www.accu.co.uk/countersunk-socket-head-screws/472050-SSK-M6-60-10-9
SSK-M6-70-10.9,0.88,0.22,0.20,0.18,0.18,https://www.accu.co.uk/countersunk-socket-head-screws/495084-SSK-M6-70-10-9
SSK-M6-80-10.9,1.19,0.39,0.39,0.39,0.39,https://www.accu.co.uk/countersunk-socket-head-screws/5497-SSK-M6-80-A2
